tollbooth_id,road_name,route_name,tollbooth_name,direction,entrance_or_exit,notes,source
01-021,中央自動車道,,高井戸,,入口,,w-nexco.co.jp
01-024,中央自動車道,,高井戸,,入口,,w-nexco.co.jp
01-025,中央自動車道,,調布,,入口,,w-nexco.co.jp
01-027,中央自動車道,,国立府中,,入口,,w-nexco.co.jp
01-044,東水戸道路,,水戸南,,,,c-nexco.co.jp
01-045,東水戸道路,,水戸大洗,,,,c-nexco.co.jp
01-046,東水戸道路,,ひたちなか,,,,c-nexco.co.jp
01-047,東水戸道路,,ひたちなか本線,,,,c-nexco.co.jp
01-059,首都圏中央連絡自動車道,,八王子西,,,,c-nexco.co.jp
01-060,首都圏中央連絡自動車道,,あきる野,,,,c-nexco.co.jp
01-061,首都圏中央連絡自動車道,,日の出,,,,c-nexco.co.jp
01-062,首都圏中央連絡自動車道,,青梅,,,,c-nexco.co.jp
01-063,首都圏中央連絡自動車道,,入間,,,,c-nexco.co.jp
01-064,首都圏中央連絡自動車道,,狭山日高,,,,c-nexco.co.jp
01-065,首都圏中央連絡自動車道,,圏央鶴ヶ島,,,,c-nexco.co.jp
01-066,首都圏中央連絡自動車道,,つくば牛久,,,,c-nexco.co.jp
01-067,首都圏中央連絡自動車道,,牛久阿見,,,,c-nexco.co.jp
01-068,首都圏中央連絡自動車道,,阿見東,,,,c-nexco.co.jp
01-101,東名高速道路,,東京本線,下り,,,c-nexco.co.jp
01-102,東名高速道路,,東京本線,上り,,,c-nexco.co.jp
01-103,東名高速道路,,東名川崎,,,,c-nexco.co.jp
01-104,東名高速道路,,横浜町田,,,,c-nexco.co.jp
01-105,東名高速道路,,厚木,,,,c-nexco.co.jp
01-106,東名高速道路,,秦野中井,,,,c-nexco.co.jp
01-107,東名高速道路,,大井松田,,,,c-nexco.co.jp
01-108,東名高速道路,,御殿場,,,,c-nexco.co.jp
01-109,東名高速道路,,沼津,,,,c-nexco.co.jp
01-110,東名高速道路,,富士,,,,c-nexco.co.jp
01-111,東名高速道路,,清水,,,,c-nexco.co.jp
01-112,東名高速道路,,静岡,,,,c-nexco.co.jp
01-113,東名高速道路,,焼津,,,,c-nexco.co.jp
01-114,東名高速道路,,吉田,,,,c-nexco.co.jp
01-115,東名高速道路,,菊川,,,,c-nexco.co.jp
01-116,東名高速道路,,袋井,,,,c-nexco.co.jp
01-117,東名高速道路,,浜松,,,,c-nexco.co.jp
01-118,東名高速道路,,浜松西,,,,c-nexco.co.jp
01-119,東名高速道路,,三ヶ日,,,,c-nexco.co.jp
01-120,東名高速道路,,豊川,,,,c-nexco.co.jp
01-121,東名高速道路,,音羽蒲郡,,,,c-nexco.co.jp
01-122,東名高速道路,,岡崎,,,,c-nexco.co.jp
01-123,東名高速道路,,豊田,,,,c-nexco.co.jp
01-124,東名高速道路,,名古屋,,,,c-nexco.co.jp
01-125,東名高速道路,,春日井,,,,c-nexco.co.jp
01-126,東名高速道路,,御殿場東,,,,c-nexco.co.jp
01-127,東名高速道路,,裾野,,,,c-nexco.co.jp
01-128,東名高速道路,,御殿場東,,入口,,c-nexco.co.jp
01-129,東名高速道路,,相良牧之原,,,,c-nexco.co.jp
01-130,東名高速道路,,東名三好,,,,c-nexco.co.jp
01-131,名古屋第二環状自動車道,,名二環名古屋,,入口,,c-nexco.co.jp
01-132,東名高速道路,,掛川,,,,c-nexco.co.jp
01-133,東名高速道路,,磐田,,,,c-nexco.co.jp
01-134,東名高速道路,,横浜青葉,,,,c-nexco.co.jp
01-135,東名高速道路,,長久手,,,,c-nexco.co.jp
